trade_date,open,high,low,close,vol,amount,previous_close,raw_return,mad_return_median,mad_return_mad,modified_zscore,is_outlier,huber_intercept,huber_slope,huber_prediction,price_residual,model_window_outlier_count,previous_model_close,model_close,return,er_direction,er_path_length,er,garch_window_unrounded,garch_window,ma_window_unrounded,ma_window,ma_start_date,ma_price_sum,adaptive_ma,price_change,rsi_gain,rsi_loss,rsi_gain_sum,rsi_loss_sum,rsi,tr_high_low,tr_high_previous_close,tr_low_previous_close,true_range,tr_q05,tr_q95,tr_clipped,atr,atr_for_stop,model_price_window_start,model_window_start,model_window_end,model_input_count,model_effective_nobs,mu,rho,rho_se,rho_t,sigma,garch_omega,garch_alpha,garch_beta,garch_previous_residual,garch_previous_sigma,garch_variance_omega,garch_variance_arch,garch_variance_garch,garch_variance_component_sum,garch_loglikelihood,garch_aic,garch_bic,garch_convergence_flag,bootstrap_valid_count,bootstrap_mean,bootstrap_std,bootstrap_min,bootstrap_q01,bootstrap_median,bootstrap_q99,bootstrap_max,bootstrap_positive_share,tsi,tsi_low,tsi_high,tsi_history_count,tsi_abs_rank_count,tsi_abs_percentile,sigma_history_count,sigma_rank_count,sigma_percentile,tsi_ci_above_zero,tsi_ci_below_zero,condition_tsi_ci,condition_tsi_percentile,condition_tsi,condition_rho,condition_rho_t,condition_sigma,condition_risk,raw_trend_up,raw_trend_down,trend_up_run,trend_down_run,state_invalid_run,state_transition,trend_confirmed,state,price_above_ma,price_below_ma,ma_cross_above,ma_cross_below,state_enter_up,state_enter_down,tsi_positive,tsi_negative,trend_long_level,trend_short_level,trend_long_condition,trend_short_condition,trend_entry,trend_entry_unfiltered,rsi_oversold,rsi_overbought,range_entry,entry_signal,entry_signal_label
2020-01-02,3.6787,3.7269,3.6769,3.7046,627623614.0,2603983236.0,3.6573,0.01293303803352197,3.43255,0.06594999999999995,2.7823764215314664,False,3.2284554801832406,0.002073758264399025,3.578920626866676,0.1256793731333241,0.0,3.6573,3.7046,0.01293303803352197,0.21540000000000026,0.6102000000000003,0.3529990167158311,169.16322517207468,169,14.705014749262533,15,2019-12-12,53.7885,3.5859,0.0472999999999999,0.0472999999999999,-0.0,0.3055000000000003,0.07330000000000014,80.649419218585,0.050000000000000266,0.06959999999999988,0.019599999999999618,0.06959999999999988,0.020520000000000028,0.08042500000000004,0.06959999999999988,0.04468035714285716,0.04094857142857145,2019-04-25,2019-04-26,2020-01-02,169.0,168.0,0.0008262796760517717,0.025653419382565233,0.06485679442312754,0.39553942822399774,0.007557576510744265,2.1308610683410464e-06,0.0,0.9623984858720811,0.003970191765559555,0.007558732911103049,2.1308610683410464e-06,0.0,5.4986101647412416e-05,5.7116962715753464e-05,-228.3195801046267,466.6391602092534,482.2589801062697,0.0,1000.0,0.11231779252990043,0.0802992919190863,-0.1880503455569084,-0.07778045759132288,0.10893142011402518,0.2998855619688463,0.3574777071134425,0.923,0.1093313014928909,-0.04798644077983128,0.27427107268137935,257,238.0,0.9260700389105059,257,34.0,0.13229571984435798,False,False,False,True,True,True,False,True,True,True,False,5,0,0,,True,trend_up,True,False,False,False,False,False,True,False,True,False,True,False,1,1,False,True,-1,1,开多，下一交易日开盘成交
2020-01-03,3.7108,3.7162,3.6903,3.6957,469673776.0,1948030083.0,3.7046,-0.0024024186146952564,3.4338,0.06814999999999993,2.5920990462215703,False,3.2266503164588283,0.0021944982183486495,3.5887425224863554,0.1069574775136446,0.0,3.7046,3.6957,-0.0024024186146952564,0.22409999999999997,0.6015000000000006,0.3725685785536155,164.68179551122205,165,14.411471321695768,14,2019-12-16,50.4688,3.604914285714286,-0.00890000000000013,0.0,0.00890000000000013,0.2349000000000001,0.08220000000000027,74.07757805108793,0.025900000000000034,0.011600000000000055,0.01429999999999998,0.025900000000000034,0.020520000000000028,0.08042500000000004,0.025900000000000034,0.04208000000000001,0.04468035714285716,2019-05-07,2019-05-08,2020-01-03,165.0,164.0,0.0009000443839028449,0.030665634733540913,0.06703671444963215,0.45744537132083724,0.00732966827533108,1.3205087083247397e-06,0.0,0.9744004987635437,0.011874545406389618,0.0073335037038745835,1.3205087083247397e-06,0.0,5.2403528318070166e-05,5.3724037026394906e-05,-215.78989798518188,441.57979597036376,457.07912810948477,0.0,1000.0,0.11779789544821588,0.0767967502485772,-0.12604561980997472,-0.06425608187744103,0.114044717496122,0.3021822191280091,0.4374307239552594,0.946,0.12279469548875184,-0.03359812117717635,0.2734944842133413,258,254.0,0.9844961240310077,258,28.0,0.10852713178294573,False,False,False,True,True,True,False,True,True,True,False,6,0,0,,True,trend_up,True,False,False,False,False,False,True,False,True,False,True,False,1,1,False,True,-1,1,开多，下一交易日开盘成交
2020-01-06,3.6841,3.7242,3.6555,3.6814,666504783.0,2760524448.0,3.6957,-0.00386936169061336,3.4461,0.06239999999999979,2.5434270833333428,False,3.274253621432601,0.002041465485889991,3.5845563752878795,0.09684362471212049,0.0,3.6957,3.6814,-0.00386936169061336,0.24670000000000014,0.5789000000000004,0.42615304888581784,152.4109518051477,152,13.607704266712732,14,2019-12-17,50.596500000000006,3.614035714285715,-0.01429999999999998,0.0,0.01429999999999998,0.22420000000000018,0.09650000000000025,69.90957280947922,0.0687000000000002,0.028500000000000192,0.040200000000000014,0.0687000000000002,0.020520000000000028,0.08042500000000004,0.0687000000000002,0.04463000000000004,0.04208000000000001,2019-05-27,2019-05-28,2020-01-06,152.0,151.0,0.0008985366889520175,0.06253695761794666,0.07167840324908953,0.8724658304765043,0.007115441843919565,2.7702649120648706e-07,0.0,0.9910209046089818,-0.00410974815502093,0.0071280223293625385,2.7702649120648706e-07,0.0,5.035248614299497e-05,5.062951263420146e-05,-191.06853528251526,392.1370705650305,407.2234697491051,0.0,1000.0,0.12648319713058517,0.06457817119740518,-0.09199562872365517,-0.026421598696954228,0.12854887381472863,0.28227331504501924,0.31475693927356263,0.974,0.1262798163011976,-0.00378516523100888,0.24955594641083528,259,257.0,0.9922779922779923,259,23.0,0.0888030888030888,False,False,False,True,True,True,False,True,True,True,False,7,0,0,,True,trend_up,True,False,False,False,False,False,True,False,True,False,True,False,1,1,False,False,0,1,开多，下一交易日开盘成交
2020-01-07,3.6912,3.7144,3.6858,3.71,464959514.0,1927362283.0,3.6814,0.0077687836149291645,3.4488,0.06239999999999979,2.8233878205128313,False,3.2782517944434066,0.002034825834399631,3.5875453212721506,0.12245467872784932,0.0,3.6814,3.71,0.0077687836149291645,0.25070000000000014,0.5829000000000004,0.43009092468691024,151.50917824669756,152,13.548636129696346,14,2019-12-18,50.697399999999995,3.6212428571428568,0.02859999999999996,0.02859999999999996,-0.0,0.19740000000000002,0.09650000000000025,67.1657026199387,0.02859999999999996,0.03299999999999992,0.0043999999999999595,0.03299999999999992,0.020520000000000028,0.07271499999999993,0.03299999999999992,0.041321428571428606,0.04463000000000004,2019-05-28,2019-05-29,2020-01-07,152.0,151.0,0.0009645773606060527,0.05745336929888429,0.07077917127808403,0.8117270697216269,0.007120703801695494,4.682550863888784e-07,1.1644505969255766e-10,0.9878711631031745,-0.004695912007338812,0.007131125769206536,4.682550863888784e-07,2.5677986650367643e-15,5.0236167542523974e-05,5.070442263148065e-05,-190.99575942017646,391.9915188403529,407.0779180244275,0.0,1000.0,0.13140847377972523,0.07323903122463178,-0.07076607171709698,-0.027864618201043863,0.12711783675378358,0.2997814126736242,0.36719190736437396,0.969,0.13546095828004803,-0.009296552899338768,0.27481540957579564,260,259.0,0.9961538461538462,260,24.0,0.09230769230769231,False,False,False,True,True,True,False,True,True,True,False,8,0,0,,True,trend_up,True,False,False,False,False,False,True,False,True,False,True,False,1,1,False,False,0,1,开多，下一交易日开盘成交
2020-01-08,3.6921,3.7046,3.6582,3.6733,562852067.0,2321782204.0,3.71,-0.009892183288409795,3.4338,0.06949999999999967,2.324356115107921,False,3.2220742344192836,0.0021902047755126878,3.598789455807466,0.07451054419253378,0.0,3.71,3.6733,-0.009892183288409795,0.20869999999999989,0.6143000000000005,0.33973628520266924,172.20039068858875,172,14.90395572195996,15,2019-12-18,54.37069999999999,3.624713333333333,-0.03670000000000018,0.0,0.03670000000000018,0.19740000000000002,0.11980000000000013,62.232030264817126,0.04640000000000022,0.005399999999999849,0.05180000000000007,0.05180000000000007,0.020520000000000028,0.07271499999999993,0.05180000000000007,0.0427928571428572,0.041321428571428606,2019-04-26,2019-04-29,2020-01-08,172.0,171.0,0.0007401492869922134,0.015008621740016907,0.06421045890691472,0.23374107576111175,0.007587411589381079,2.3343095986569076e-06,3.0388749290636867e-15,0.9592787769185469,0.0070867081139266794,0.007588095973053971,2.3343095986569076e-06,1.5261665027826076e-19,5.523450502801724e-05,5.7568814626674306e-05,-230.85877010008164,471.7175402001633,487.4258579826766,0.0,1000.0,0.09489786880225526,0.0766592031438474,-0.1876119836037442,-0.09358226197664643,0.09754122640012773,0.2647243357696534,0.3361035255804819,0.884,0.09754964236131401,-0.05837576258201879,0.23941341736692456,261,211.0,0.8084291187739464,261,39.0,0.14942528735632185,False,False,False,True,True,True,False,True,True,True,False,9,0,0,,True,trend_up,True,False,False,False,False,False,True,False,True,False,True,False,1,1,False,False,0,1,开多，下一交易日开盘成交
2020-01-09,3.6948,3.7189,3.6912,3.7126,394431722.0,1636905845.0,3.6733,0.010698826668118722,3.4404,0.06420000000000003,2.859795950155764,False,3.2391489928529436,0.002289166126095069,3.60770473915425,0.1048952608457503,0.0,3.6733,3.7126,0.010698826668118722,0.2533000000000003,0.6483000000000008,0.3907141755360173,160.52645380225204,161,14.13928736695974,14,2019-12-20,50.8982,3.6355857142857144,0.039300000000000335,0.039300000000000335,-0.0,0.23670000000000035,0.11350000000000016,67.58994860079954,0.02770000000000028,0.04560000000000031,0.017900000000000027,0.04560000000000031,0.02436000000000005,0.07271499999999993,0.04560000000000031,0.044714285714285804,0.0427928571428572,2019-05-17,2019-05-20,2020-01-09,161.0,160.0,0.0010075422812424934,0.03141324164932434,0.07048617277500527,0.4456653044505152,0.007299759451193,2.495726583908945e-07,0.0,0.9922471942369008,-0.01114376824666937,0.0073110404891937745,2.495726583908945e-07,0.0,5.3036915386890635e-05,5.328648804528153e-05,-204.07079859700443,418.14159719400885,433.517466270178,0.0,1000.0,0.14312766233818475,0.06350824767313053,-0.03505896520362505,-0.0016524680112872166,0.1390186423579022,0.3018840548086393,0.39891057082712333,0.988,0.13802403873429428,0.019442475914285783,0.2767158126442406,262,261.0,0.9961832061068703,262,30.0,0.11450381679389313,True,False,True,True,True,True,False,True,True,True,False,10,0,0,,True,trend_up,True,False,False,False,False,False,True,False,True,False,True,False,1,1,False,False,0,1,开多，下一交易日开盘成交
2020-01-10,3.7189,3.7287,3.7001,3.7117,379555000.0,1576677929.0,3.7126,-0.0002424177126542082,3.4488,0.06420000000000003,2.7620880062305297,False,3.2551373907496117,0.0022369171279026296,3.608570296958227,0.10312970304177282,0.0,3.7126,3.7117,-0.0002424177126542082,0.25760000000000005,0.644000000000001,0.39999999999999947,158.40000000000012,158,14.000000000000007,14,2019-12-23,51.0241,3.6445785714285712,-0.0009000000000001229,0.0,0.0009000000000001229,0.23670000000000035,0.11080000000000023,68.11510791366906,0.02859999999999996,0.01609999999999978,0.012500000000000178,0.02859999999999996,0.02436000000000005,0.07271499999999993,0.02859999999999996,0.04472142857142864,0.044714285714285804,2019-05-23,2019-05-24,2020-01-10,158.0,157.0,0.0010236643157579975,0.03755357926362242,0.07179977014869159,0.5230320262286628,0.007199305124854769,2.0965992856589958e-07,2.3787803975699765e-11,0.9926227903996319,0.010046649241572303,0.007211378411925027,2.0965992856589958e-07,2.401025823723712e-15,5.1620334349793224e-05,5.182999428076015e-05,-198.82411115281607,407.64822230563215,422.9294513323737,0.0,1000.0,0.1421189825042181,0.05829251369556265,-0.01009719571744025,0.0128294104282949,0.1405395924479823,0.2904302861275192,0.38527951983320236,0.995,0.14218932216442873,0.03549122193391269,0.2586343947261569,263,263.0,1.0,263,27.0,0.10266159695817491,True,False,True,True,True,True,False,True,True,True,False,11,0,0,,True,trend_up,True,False,False,False,False,False,True,False,True,False,True,False,1,1,False,False,0,1,开多，下一交易日开盘成交
2020-01-13,3.7108,3.7546,3.6975,3.7519,373639185.0,1558366390.0,3.7117,0.010830616698547901,3.4650499999999997,0.06109999999999993,3.166617430441905,False,3.3514350636934735,0.0018081518997184283,3.588302962556588,0.16359703744341214,0.0,3.7117,3.7519,0.010830616698547901,0.3355999999999999,0.6464000000000012,0.5191831683168305,131.1070544554458,131,12.212252475247542,12,2019-12-26,44.114,3.6761666666666666,0.040200000000000014,0.040200000000000014,-0.0,0.27690000000000037,0.06440000000000046,81.13096982127152,0.05710000000000015,0.04289999999999994,0.014200000000000212,0.05710000000000015,0.02436000000000005,0.07271499999999993,0.05710000000000015,0.04433571428571437,0.04472142857142864,2019-07-03,2019-07-04,2020-01-13,131.0,130.0,0.0008207697282799993,0.0007787519509104495,0.07440895785303948,0.010465836014643749,0.007451341402400784,8.012340987591923e-07,0.0,0.9844162937959396,-0.0010715191730744577,0.007455703460068639,8.012340987591923e-07,0.0,5.4721254596372874e-05,5.5522488695132065e-05,-157.05397636527996,324.10795273055993,338.44562498283784,0.0,1000.0,0.1125298537677628,0.08668184648686145,-0.19406419943649658,-0.10101195729806407,0.11408488740538505,0.31398084093936107,0.4023472766571916,0.905,0.11015060026850354,-0.058371356393151615,0.27808235587812785,264,241.0,0.9128787878787878,264,35.0,0.13257575757575757,False,False,False,True,True,True,False,True,True,True,False,12,0,0,,True,trend_up,True,False,False,False,False,False,True,False,True,False,True,False,1,1,False,True,-1,1,开多，下一交易日开盘成交
2020-01-14,3.7519,3.7698,3.7323,3.7358,409962842.0,1723090045.0,3.7519,-0.00429115914603273,3.4637000000000002,0.06635000000000035,2.7661107761868684,False,3.3487130646138574,0.0016697529164371259,3.584148225831492,0.15165177416850772,0.0,3.7519,3.7358,-0.00429115914603273,0.3125,0.6555000000000017,0.47673531655224893,140.82761250953502,141,12.848970251716267,13,2019-12-26,47.849799999999995,3.680753846153846,-0.016100000000000225,0.0,0.016100000000000225,0.25810000000000066,0.08050000000000068,76.22563496751319,0.03750000000000009,0.017900000000000027,0.019600000000000062,0.03750000000000009,0.02436000000000005,0.07271499999999993,0.03750000000000009,0.0451642857142858,0.04433571428571437,2019-06-20,2019-06-21,2020-01-14,141.0,140.0,0.0008275304854987721,-0.0038489008638694813,0.06883503745064402,-0.05591485101797487,0.007350342423661855,6.291817594663793e-07,0.0,0.986739128721279,0.010002153171305476,0.007356356230540469,6.291817594663793e-07,0.0,5.3398351985616854e-05,5.4027533745083236e-05,-170.89020330670354,351.7804066134071,366.4886187264536,0.0,1000.0,0.10936634694230699,0.07713130343874076,-0.11363413316767666,-0.07835630980266706,0.1078042525235505,0.29383756915167364,0.34700776993068294,0.928,0.1125839366115553,-0.03635240388170408,0.26111294717347383,265,245.0,0.9245283018867925,265,33.0,0.12452830188679245,False,False,False,True,True,False,False,True,True,False,False,0,0,1,,True,trend_up,True,False,False,False,False,False,True,False,True,False,True,False,1,1,False,True,-1,1,开多，下一交易日开盘成交
2020-01-15,3.7358,3.7412,3.701,3.7073,319607409.0,1330016015.0,3.7358,-0.0076288880561057315,3.4549,0.06950000000000012,2.449551079136688,False,3.26636625715682,0.002234610460468076,3.619434709910776,0.08786529008922406,0.0,3.7358,3.7073,-0.0076288880561057315,0.26990000000000025,0.6699000000000015,0.40289595462009203,157.73682639199893,158,13.956560680698619,14,2019-12-26,51.55709999999999,3.6826499999999993,-0.028499999999999748,0.0,0.028499999999999748,0.25190000000000046,0.10900000000000043,69.79772790246602,0.040200000000000014,0.0054000000000002935,0.03479999999999972,0.040200000000000014,0.027654999999999985,0.07271499999999993,0.040200000000000014,0.04650000000000008,0.0451642857142858,2019-05-28,2019-05-29,2020-01-15,158.0,157.0,0.0009203118255734921,0.0313363969462727,0.07037936808118023,0.4452497628300275,0.007294811875785332,6.712155185429513e-07,0.0,0.9854877585902984,-0.0055508634756448495,0.007301836154021705,6.712155185429513e-07,0.0,5.2543064784555767e-05,5.321428030309872e-05,-198.69348990334692,407.38697980669383,422.66820883343536,0.0,1000.0,0.12771970556466622,0.07365193406693211,-0.09966379826159232,-0.03387140920292375,0.12738136738347483,0.30237624211496034,0.3629009784608638,0.962,0.1261597750900759,-0.01482923587244656,0.27827137572581484,266,260.0,0.9774436090225563,266,31.0,0.11654135338345864,False,False,False,True,True,True,False,True,True,True,False,1,0,0,,True,trend_up,True,False,False,False,False,False,True,False,True,False,True,False,1,1,False,False,0,1,开多，下一交易日开盘成交
