trade_date,method,window,point_tsi,tsi_low,tsi_high,bootstrap_mean,bootstrap_std,rho_mean,sigma_mean,valid_samples,seconds
2020-09-01,garch_residual,224,0.27173057531791434,-0.033377107018289616,0.41181775742321963,0.15257475146232644,0.12685503981579385,-0.01933124675775431,0.015769842751380436,1000,0.021271944046020508
2020-09-01,full_refit,224,0.27173057531791434,0.010533332045963026,0.38858935380014337,0.16074225291867497,0.10022817713484257,-0.01732829238268993,0.01522373815862084,1000,8.37024211883545
2022-06-30,garch_residual,151,-0.017641256173782715,-0.18836243717237258,0.1789459577398621,-0.009598647801107177,0.08737178548636332,-0.028982409818915058,0.014188401481893763,1000,0.013997554779052734
2022-06-30,full_refit,151,-0.017641256173782715,-0.17952093959282234,0.20336580680320968,-0.003906425272360949,0.08782946402719655,-0.02992986414073644,0.013978756288514544,1000,8.290251970291138
2023-12-15,garch_residual,153,-0.13566435470222102,-0.1576721857231492,-0.11627790924300496,-0.13652926265914284,0.010986692067392731,0.009450911263945715,0.007716460827761603,1000,0.014005899429321289
2023-12-15,full_refit,153,-0.13566435470222102,-59.94877930791287,-4.188561097961903,-45.951016243660604,10.353665763134682,0.0017347828392754601,0.00012534762100556914,1000,5.017104148864746
2025-05-08,garch_residual,229,0.031231365143585724,-0.13507717597459026,0.19190820169197995,0.030215942934922822,0.08134165955482156,-0.08019061340383263,0.012209185593178308,1000,0.019141435623168945
2025-05-08,full_refit,229,0.031231365143585724,-0.12425255632541882,0.197451438809144,0.03226768475856109,0.07865740137307543,-0.08155810284119208,0.011915577977414053,1000,8.482918500900269
2026-01-15,garch_residual,195,0.17158556283202928,0.020917351581511746,0.3365103780085231,0.1710200933696918,0.08160137142940156,0.0003620620265475793,0.007886842510640403,1000,0.017008304595947266
2026-01-15,full_refit,195,0.17158556283202928,0.02754595207889406,0.3770523272025941,0.18250348295620478,0.08899412932459999,0.0010499350330774408,0.007760463351373406,1000,8.208528995513916
