日期,中证800指数价格,中证800日收益率,中证800累计净值,中证800仓位,DR007仓位,DR007年化利率%,DR007日收益率,纯DR007累计净值,策略日收益率,策略累计净值,20日年化波动率,波动率25%分位,波动率75%分位,MA20,买入信号,卖出信号,策略回撤,中证800回撤
2005-01-04,983.895,,,0,1,2.0,5.425524517677083e-05,1.0000542552451768,,,,,,,0,0,,
2005-01-05,995.576,0.011872201810152472,1.0118722018101525,0,1,2.0,5.425524517677083e-05,1.000108513433985,5.425524517677083e-05,1.0000542552451768,,,,,0,0,0.0,0.0
2005-01-06,986.216,-0.009401592645865375,1.0023589915590585,0,1,2.0,5.425524517677083e-05,1.0001627745665849,5.425524517677083e-05,1.000108513433985,,,,,0,0,0.0,-0.009401592645865375
2005-01-07,987.693,0.0014976435182556536,1.0038601680057322,0,1,2.0,5.425524517677083e-05,1.0002170386431357,5.425524517677083e-05,1.0001627745665849,,,,,0,0,0.0,-0.007918029361897116
2005-01-10,997.186,0.00961128609800821,1.0135085552828298,0,1,2.0,5.425524517677083e-05,1.0002713056637973,5.425524517677083e-05,1.0002170386431357,,,,,0,0,0.0,0.0
2005-01-11,1000.098,0.0029202174920224255,1.016468220694281,0,1,2.0,5.425524517677083e-05,1.0003255756287295,5.425524517677083e-05,1.0002713056637973,,,,,0,0,0.0,0.0
2005-01-12,999.915,-0.00018298206775735348,1.0162822252374488,0,1,2.0,5.425524517677083e-05,1.000379848538092,5.425524517677083e-05,1.0003255756287295,,,,,0,0,0.0,-0.00018298206775724246
2005-01-13,1001.231,0.0013161118695088625,1.0176197663368547,0,1,2.0,5.425524517677083e-05,1.0004341243920443,5.425524517677083e-05,1.000379848538092,,,,,0,0,0.0,0.0
2005-01-14,991.409,-0.009809923983576274,1.0076369937849055,0,1,2.0,5.425524517677083e-05,1.0004884031907464,5.425524517677083e-05,1.0004341243920443,,,,,0,0,0.0,-0.009809923983576274
2005-01-17,969.922,-0.02167319441320381,0.9857982813206689,0,1,2.0,5.425524517677083e-05,1.000542684934358,5.425524517677083e-05,1.0004884031907464,,,,,0,0,0.0,-0.03127050600710535
2005-01-18,979.139,0.009502826000441278,0.9951661508595933,0,1,2.0,5.425524517677083e-05,1.0005969696230388,5.425524517677083e-05,1.000542684934358,,,,,0,0,0.0,-0.022064838184195357
2005-01-19,972.369,-0.00691423791719048,0.9882853353254154,0,1,2.0,5.425524517677083e-05,1.0006512572569488,5.425524517677083e-05,1.0005969696230388,,,,,0,0,0.0,-0.028826514560575944
2005-01-20,960.598,-0.012105486703093193,0.9763216603397716,0,1,2.0,5.425524517677083e-05,1.0007055478362477,5.425524517677083e-05,1.0006512572569488,,,,,0,0,0.0,-0.04058304227495957
2005-01-21,983.888,0.024245313856577022,0.9999928854196838,0,1,2.0,5.425524517677083e-05,1.0007598413610952,5.425524517677083e-05,1.0007055478362477,,,,,0,0,0.0,-0.01732167701559373
2005-01-24,1000.703,0.01709035987836005,1.017083123707306,0,1,2.0,5.425524517677083e-05,1.0008141378316513,5.425524517677083e-05,1.0007598413610952,,,,,0,0,0.0,-0.0005273508311267605
2005-01-25,998.001,-0.002700101828414625,1.0143368957053343,0,1,2.0,5.425524517677083e-05,1.0008684372480758,5.425524517677083e-05,1.0008141378316513,,,,,0,0,0.0,-0.0032260287585980096
2005-01-26,989.061,-0.008957906855804665,1.0052505602731998,0,1,2.0,5.425524517677083e-05,1.0009227396105285,5.425524517677083e-05,1.0008684372480758,,,,,0,0,0.0,-0.012155037149269021
2005-01-27,973.434,-0.015799834388374512,0.9893677679020626,0,1,2.0,5.425524517677083e-05,1.000977044919169,5.425524517677083e-05,1.0009227396105285,,,,,0,0,0.0,-0.027762823963700445
2005-01-28,964.026,-0.009664753850800345,0.9798057719573734,0,1,2.0,5.425524517677083e-05,1.0010313531741575,5.425524517677083e-05,1.000977044919169,,,,,0,0,0.0,-0.03715925695468858
2005-01-31,945.237,-0.019490138232786225,0.9607092220206424,0,1,2.0,5.425524517677083e-05,1.0010856643756536,5.425524517677083e-05,1.0010313531741575,,,,983.97985,0,0,0.0,-0.05592515613280025
2005-02-01,943.24,-0.002112697662067786,0.9586795338933524,0,1,2.0,5.425524517677083e-05,1.0011399785238173,5.425524517677083e-05,1.0010856643756536,0.19259330277848416,,,981.9471,0,0,0.0,-0.057919700848255595
2005-02-02,994.212,0.054039268902930315,1.010485875017151,0,1,2.0,5.425524517677083e-05,1.0011942956188085,5.425524517677083e-05,1.0011399785238173,0.2739610490074435,,,981.8788999999999,0,0,0.0,-0.0070103702342414476
2005-02-03,979.041,-0.01525932094965654,0.9950665467351698,0,1,2.0,5.425524517677083e-05,1.001248615660787,5.425524517677083e-05,1.0011942956188085,0.2774145138337996,,,981.52015,0,0,0.0,-0.02216271769451783
2005-02-04,1000.775,0.02219927459626292,1.017156302247699,0,1,2.0,5.425524517677083e-05,1.0013029386499126,5.425524517677083e-05,1.001248615660787,0.28862287902435046,,,982.17425,0,0,0.0,-0.0004554393541548185
2005-02-16,1008.572,0.007790962004446511,1.0250809283510942,0,1,2.0,5.425524517677083e-05,1.0013572645863453,5.425524517677083e-05,1.0013029386499126,0.28795844273024745,,,982.7435499999999,0,0,0.0,0.0
2005-02-17,1007.811,-0.0007545321504066616,1.0243074718338847,0,1,2.0,5.425524517677083e-05,1.001411593470245,5.425524517677083e-05,1.0013572645863453,0.2878817554097622,,,983.1292,0,0,0.0,-0.0007545321504065505
2005-02-18,993.838,-0.013864702806379414,1.010105753154554,0,1,2.0,5.425524517677083e-05,1.0014659253017717,5.425524517677083e-05,1.001411593470245,0.29239722540072455,,,982.8253499999998,0,0,0.0,-0.014608773592762692
2005-02-21,1012.737,0.019016177686906666,1.0293141036391078,0,1,2.0,5.425524517677083e-05,1.001520260081085,5.425524517677083e-05,1.0014659253017717,0.3002168743909746,,,983.4006499999999,0,0,0.0,0.0
2005-02-22,1035.251,0.022230845718088643,1.0521966266725615,0,1,2.0,5.425524517677083e-05,1.0015745978083452,5.425524517677083e-05,1.001520260081085,0.3067569113765553,,,985.59275,0,0,0.0,0.0
2005-02-23,1036.707,0.0014064222106524582,1.0536764593782875,0,1,2.0,5.425524517677083e-05,1.0016289384837123,5.425524517677083e-05,1.0015745978083452,0.2934443440008689,,,988.932,0,0,0.0,0.0
2005-02-24,1039.191,0.0023960482566434127,1.056201119021847,0,1,2.0,5.425524517677083e-05,1.0016832821073458,5.425524517677083e-05,1.0016289384837123,0.2925976176213404,,,991.9346000000002,0,0,0.0,0.0
2005-02-25,1040.062,0.0008381519855347186,1.0570863760868792,0,1,2.0,5.425524517677083e-05,1.001737628679406,5.425524517677083e-05,1.0016832821073458,0.2903500233704443,,,995.3192499999999,0,0,0.0,0.0
